title,author,image,download_link,pages,publisher,year,language,file,Price,Used_Price,Condition
2017 ASME Boiler & Pressure Vessel Code BPVC Section III-Rules for Construction of Nuclear Facility Components-Divison 3-Containment Systems & Transport Packagings for Spent Nuclear Fuel & High Level Radioactive Waste BPVC-III-3 - 2017,American Society of Mechanical Engineers. Boiler and Pressure Vessel Committee,https://covers.zlibcdn2.com/covers100/books/85/f6/87/85f687ad0f6c1a47b9a6e6459d8c6903.jpg,https://1lib.in/dl/10992304/672b4b,335.0,ASME,2017.0,english,"PDF, 12.59 MB",817.08,544.27,Very Good
"Fuel failure in normal operation of water reactors : experience, mechanisms and management : proceedings of a Technical Committee meeting held in Dimitrovgrad, Russian Federation, 26-29 May 1992",International Atomic Energy Agency,https://covers.zlibcdn2.com/covers100/books/e6/9e/17/e69e173aa3a27cdcc9a5e22a23537cc7.jpg,https://1lib.in/dl/2059041/418923,279.0,International Atomic Energy Agency ,1993.0,english,"PDF, 21.87 MB",656.37,434.85,Very Good
A Textbook of Surveying and Levelling,R. Agor,https://covers.zlibcdn2.com/covers100/books/14/cd/9c/14cd9c70f0bc9d91b1efe99749d121c2.jpg,https://1lib.in/dl/6020338/014bc7,1237.0,KHANNA PUBLISHERS,2015.0,english,"PDF, 14.59 MB",920.88,670.93,Like New
Animal biodiversity:  An outline of higher-level classification and survey of taxonomic richness,ZHI-QIANG ZHANG (ED.),https://covers.zlibcdn2.com/covers100/books/6d/fd/76/6dfd76183ca745da6e83cd2ccfcd4f9f.jpg,https://1lib.in/dl/1304878/d39e73,237.0,Magnolia Press,2011.0,english,"PDF, 1.99 MB",629.82,472.42,Like New
Surveying and Levelling,N N Basak,https://covers.zlibcdn2.com/covers100/books/e0/d1/3b/e0d13beadaa62531a1b92aa550df089e.jpg,https://1lib.in/dl/6012869/7f5a1c,,Mc Graw Hill India,2014.0,english,"AZW3 , 10.52 MB",994.75,628.81,Very Good
CURRENT DEMOCRATIC METHODS OF TEACHING ON THE SECONDARY SCHOOL LEVEL IN THE UNITED STATES - A SURVEY OF CLASSROOM TEACHING PRACTICES REPORTED BY TEACHERS IN A QUESTIONNAIRE AND SUPPLEMENTED BY CLASSROOM VISITATION AND OBSERVATION DURING THE SCHOOL YEAR 19,FOLEY,https://covers.zlibcdn2.com/covers100/books/4e/8f/b5/4e8fb53a6885b26d1dca9c8428dda9a8.jpg,https://1lib.in/dl/5854450/d2ee87,,,,english,"PDF, 22.35 MB",908.9,536.89,Good
"Fiscal design across levels of government, year 2000 surveys. / Country report",OECD,https://covers.zlibcdn2.com/covers100/books/6d/71/b5/6d71b50d7d742d857888369a310e4dc2.jpg,https://1lib.in/dl/3391566/10adb9,61.0,Organisation for Economic Co-operation and Development,2001.0,english,"PDF, 344 KB",679.49,392.61,Good
"A survey of age-grade status, ability levels, general achievement and reading achievement of elementary school children of Amador County",Joyce,https://covers.zlibcdn2.com/covers100/books/dd/e5/71/dde571a1036a93a2982b56356d42e478.jpg,https://1lib.in/dl/5353209/f18f0a,,,,english,"PDF, 4.66 MB",602.21,336.27,Good
Theory of Machines and Mechanisms,John J. Uicker,https://covers.zlibcdn2.com/covers100/books/35/8e/ba/358eba584144e4706a57f36fb7c65fa6.jpg,https://1lib.in/dl/3685153/e52950,977.0,Oxford University Press,2017.0,english,"PDF, 61.23 MB",926.18,479.11,Good
Principles of Physics: From Quantum Field Theory to Classical Mechanics,Jun Ni,https://covers.zlibcdn2.com/covers100/books/e4/b8/27/e4b82754be9c00ce96472a987cfcdcfd.jpg,https://1lib.in/dl/2519983/b93dc0,444.0,World Scientific Publishing Company,2014.0,english,"PDF, 5.62 MB",882.74,532.06,Very Good
